"filename", "language", "YAML", "Markdown", "Dart", "Kotlinscript", "Properties", "Swift", "Gradle", "XML", "C++", "Project.pbxproj", "JSON", "Batch", "Kotlin", "comment", "blank", "total"
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 30, 22, 93
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 0, 570, 0, 0, 0, 31, 16, 617
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Admin_Main_Screen.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 103
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Answeared.Admin.dart", "Dart", 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 312
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Login_Admin.dart", "Dart", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 429
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Profile_Admin.dart", "Dart", 0, 0, 599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 22, 660
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Question_Add.dart", "Dart", 0, 0, 571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 615
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\UsersGroupsCreate.dart", "Dart", 0, 0, 675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 35, 743
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\about_admin.dart", "Dart", 0, 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 288
