"filename", "language", "YAML", "Dart", "Markdown", "Gradle", "Properties", "Ruby", "Swift", "JSON", "XML", "C++", "Kotlin", "Project.pbxproj", "comment", "blank", "total"
"/Users/golden/Documents/connectgate/lib/main.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 52
"/Users/golden/Documents/connectgate/lib/models/admin_model.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/golden/Documents/connectgate/lib/models/group_model.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 59
"/Users/golden/Documents/connectgate/lib/models/question_model.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 79
"/Users/golden/Documents/connectgate/lib/models/static_value.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/Users/golden/Documents/connectgate/lib/models/user_model.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"/Users/golden/Documents/connectgate/lib/providers/question_provider.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 19, 86
"/Users/golden/Documents/connectgate/lib/shared_pref/shared_pref.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 45
"/Users/golden/Documents/connectgate/pubspec.yaml", "YAML", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 27, 149
"/Users/golden/Documents/connectgate/test/widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 30
"Total", "-", 78, 9467, 13, 69, 8, 33, 19, 73, 258, 1, 3, 711, 9637, 5810, 26180
